point,"Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)"
receptor,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2
time,,,,,,,,,,,,,,,,,,,,
0.51,0.46908168517775917,-0.7280351661089896,0.3619066766270793,0.10614005318256926,0.2845262338638701,-0.4415970831497067,0.21951814996117605,0.0643803212711303,0.2637277150348189,-0.40931687782727905,0.2034716423569934,0.059674198724909776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,0.461968829296131,-0.7169957045889183,0.366613344912419,0.10983169613901422,0.2801469724406622,-0.4348002790568964,0.2223215336628746,0.06660409793935274,0.25966831760952835,-0.4030165165635393,0.20606990006588938,0.06173535950482282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.53,0.4549621188565714,-0.7061209854090177,0.3712496995278627,0.11357017712946964,0.2758350769912421,-0.4281080298837612,0.2250817929844546,0.0688554876418011,0.25567137349203684,-0.39681308554831257,0.20862818387022222,0.0638221117120728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.44806002290488445,-0.6954086324618258,0.37581675701246375,0.11735479311380091,0.27158951236119455,-0.4215187290256544,0.22779959058263943,0.07113406553967895,0.25173592277834644,-0.39070509496886635,0.21114710816809826,0.06593406156932681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.4412610308946414,-0.6848563013136247,0.3803155202766294,0.12118485095474722,0.2674092592677507,-0.4150307945114163,0.23047557895382204,0.07343941331637609,0.2478610202896157,-0.38469107786655937,0.21362727793256894,0.06807082134669745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,0.4345636524697538,-0.6744616788669828,0.38474697875008,0.1250596672992876,0.26329331405749584,-0.40864266862731075,0.23311040058917115,0.0757711190777722,0.2440457353471462,-0.3787695897875859,0.21606928885565607,0.07023200926922525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,0.42796641724743245,-0.6642224830238956,0.389112108529422,0.12897856846071165,0.2592406884677438,-0.4023528175466916,0.235704688127391,0.07812877725405117,0.24028915155077946,-0.3729392084390708,0.21847372749019275,0.07241724942576552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,0.4214678746016212,-0.6541364623496619,0.3934118725252834,0.13294089030142045,0.255250409391522,-0.39615973096524293,0.23825906450516862,0.08051198850300344,0.23659036656065538,-0.3671985333503292,0.22084117138951365,0.07462617167925893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,0.4150665934469826,-0.6442013957376223,0.39764722060896107,0.13694597811648002,0.25132151864611574,-0.3900619217417368,0.24077414310534348,0.08292035961479455,0.232948491882281,-0.36154618553927814,0.22317218924502583,0.07685841157836455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.4087611620235142,-0.6344150920748852,0.40181908975853486,0.14099318651795056,0.24745307274511671,-0.38405792554425133,0.2432505279028333,0.08535350341817759,0.22936265265486033,-0.35598080718393615,0.22546734102169252,0.07911361027043552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.61,0.40255018768186696,-0.6247753899091432,0.40592840420440274,0.14508187932001046,0.24364414267392465,-0.3781463005017425,0.24568881360834918,0.08781103868812848,0.22583198744283645,-0.35050106129887343,0.2277271780914605,0.08139141441581699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.62,0.39643229666943436,-0.6152801571166195,0.40997607557419485,0.14921142942489501,0.23989381366865087,-0.3723256268608944,0.2480895858099337,0.09029259005488263,0.2223556480305984,-0.3451056314165899,0.22995224336466213,0.08369147610344667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.3904061339172812,-0.6059272905714208,0.41396300303702727,0.1533812187096677,0.2362011849983718,-0.3665945066481593,0.250453421112353,0.09279778791435203,0.2189327992203046,-0.3397932212737301,0.23214307141942206,0.08601345276773817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.64,0.3844703628279684,-0.596714715816232,0.4178900734470567,0.15759063791384034,0.23256536975068443,-0.3609515633369358,0.25278088727437686,0.09532626833990235,0.21556261863277718,-0.3345625545020598,0.23430018862909907,0.08835700710672845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.378623665064339,-0.5876403867344618,0.42175816148630163,0.16183908652785806,0.2289854946205123,-0.35539544151978264,0.25507254334397617,0.09787767299546937,0.2122442965114202,-0.329412374324146,0.23642411328779142,0.09072180700146983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
